Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Machine Learning Specialization,Data Science,Machine Learning,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles,",4.9,10438.0,Coursera,,
Introduction to Data Science Specialization,Data Science,Data Analysis,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio,",4.7,11927.0,Coursera,,
Data Science Fundamentals with Python and SQL Specialization,Data Science,Data Analysis,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing,",4.6,2295.0,Coursera,,
Key Technologies for Business Specialization,Business,Business Essentials,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning,",4.7,1232.0,Coursera,,
Deep Learning Specialization,Data Science,Machine Learning,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer,",4.9,129253.0,Coursera,,
IBM & Darden Digital Strategy Specialization,Data Science,Machine Learning,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness,",4.8,262.0,Coursera,,
IBM AI Foundations for Business Specialization,Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics,",4.7,1076.0,Coursera,,
Data Analysis and Visualization Foundations Specialization,Data Science,Data Analysis,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard,",4.8,2171.0,Coursera,,
Applied Data Science Specialization,Data Science,Machine Learning,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib,",4.6,7175.0,Coursera,,
Data Engineering Foundations Specialization,Information Technology,Data Management,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks,",4.7,922.0,Coursera,,
IT Fundamentals for Cybersecurity Specialization,Information Technology,Security,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection,",4.6,4996.0,Coursera,,
Applied Software Engineering Fundamentals Specialization,Computer Science,Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell),",4.7,201.0,Coursera,,
"DevOps, Cloud, and Agile Foundations Specialization",Computer Science,Design and Product,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology,",4.8,625.0,Coursera,,
Cloud Application Development Foundations Specialization,Information Technology,Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software),",4.5,342.0,Coursera,,
Python for Everybody Specialization,Computer Science,Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL,",4.8,202757.0,Coursera,,
Information Technology (IT) and Cloud Fundamentals Specialization,Information Technology,Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development,",4.8,278.0,Coursera,,
"BI Foundations with SQL, ETL and Data Warehousing Specialization",Information Technology,Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines,",4.6,210.0,Coursera,,
Natural Language Processing Specialization,Data Science,Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding,",4.6,4787.0,Coursera,,
Business Foundations Specialization,Business,Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow,",4.7,17404.0,Coursera,,
Meta React Native Specialization,Computer Science,Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control,",4.8,564.0,Coursera,,
Mathematics for Machine Learning and Data Science Specialization,Computer Science,Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent,",4.5,369.0,Coursera,,
Introduction to Finance and Accounting Specialization,Business,Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology,",4.4,1753.0,Coursera,,
